0,1,2,3,4,5,6,7,8,9,10,11
2026/02/21,08:20,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,08:30,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,08:40,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,08:50,0.0,-,64124,,0.0,,0.0,,35.0,
2026/02/21,09:00,0.0,-,64124,,0.0,,16.1,,35.0,
2026/02/21,09:10,0.0,-,64124,,0.0,,18.9,,35.0,
2026/02/21,09:20,0.0,-,64124,,0.0,,18.92,,35.0,
2026/02/21,09:30,0.0,-,64099,,0.82,,19.02,,35.0,
2026/02/21,09:40,0.0,-,64099,,0.82,,19.11,,35.0,
2026/02/21,09:50,0.0,-,64099,,0.82,,19.02,,35.0,
2026/02/21,10:00,0.0,-,64074,,2.37,,19.04,,35.0,
2026/02/21,10:10,0.0,-,64074,,2.37,,17.92,,35.0,
2026/02/21,10:20,0.0,-,64074,,2.37,,18.03,,35.0,
2026/02/21,10:30,0.0,-,64049,,3.35,,17.91,,35.0,
2026/02/21,10:40,0.0,-,64049,,3.35,,17.99,,35.0,
2026/02/21,10:50,0.0,-,64024,,0.0,,18.1,,35.0,
2026/02/21,11:00,0.0,-,64024,,0.0,,17.99,,35.0,
2026/02/21,11:10,0.0,-,63999,,0.0,,17.98,,35.0,
2026/02/21,11:20,0.0,-,63999,,0.0,,18.06,,35.0,
2026/02/21,11:30,0.0,-,63999,,0.0,,17.81,,35.0,
2026/02/21,11:40,0.0,-,63974,,2.02,,18.04,,35.0,
2026/02/21,11:50,0.0,-,63974,,2.02,,18.08,,35.0,
2026/02/21,12:00,0.0,-,63974,,2.02,,17.94,,35.0,
2026/02/21,12:10,0.0,-,63949,,2.65,,17.95,,35.0,
2026/02/21,12:20,0.0,-,63949,,2.65,,17.96,,35.0,
2026/02/21,12:30,0.0,-,63924,,0.0,,17.98,,35.0,
2026/02/21,12:40,0.0,-,63924,,0.0,,18.02,,35.0,
2026/02/21,12:50,0.0,-,63899,,0.67,,18.07,,35.0,
2026/02/21,13:00,0.0,-,63899,,0.67,,17.95,,35.0,
2026/02/21,13:10,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,13:20,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,13:30,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,13:40,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,13:50,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,14:00,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,14:10,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,14:20,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,14:30,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,14:40,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,14:50,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,15:00,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,15:10,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,15:20,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,15:30,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,15:40,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,15:50,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,16:00,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,16:10,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,16:20,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,16:30,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,16:40,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,16:50,0.0,-,63899,,0.67,,0.0,,35.0,
2026/02/21,17:00,0.0,-,63899,,0.67,,16.17,,35.0,
2026/02/21,17:10,0.0,-,63899,,0.67,,18.06,,35.0,
2026/02/21,17:20,0.0,-,63899,,0.67,,17.97,,35.0,
2026/02/21,17:30,0.0,-,63874,,1.33,,18.02,,35.0,
2026/02/21,17:40,0.0,-,63874,,1.33,,17.98,,35.0,
2026/02/21,17:50,0.0,-,63874,,1.33,,17.94,,35.0,
2026/02/21,18:00,0.0,-,63849,,2.02,,18.02,,35.0,
2026/02/21,18:10,0.0,-,63849,,2.02,,17.98,,35.0,
2026/02/21,18:20,0.0,-,63824,,2.0,,18.09,,35.0,
2026/02/21,18:30,0.0,-,63824,,2.0,,18.01,,35.0,
2026/02/21,18:40,0.0,-,63824,,2.0,,17.94,,35.0,
2026/02/21,18:50,0.0,-,63799,,2.02,,17.88,,35.0,
2026/02/21,19:00,0.0,-,63774,,0.0,,18.04,,35.0,
2026/02/21,19:10,0.0,-,63774,,0.0,,17.96,,35.0,
2026/02/21,19:20,0.0,-,63774,,0.0,,18.01,,35.0,
2026/02/21,19:30,0.0,-,63774,,0.0,,18.01,,35.0,
2026/02/21,19:40,0.0,-,63749,,6.45,,17.93,,35.0,
2026/02/21,19:50,0.0,-,63749,,6.45,,18.01,,35.0,
2026/02/21,20:00,0.0,-,63724,,1.97,,18.05,,35.0,
2026/02/21,20:10,0.0,-,63724,,1.97,,18.01,,35.0,
2026/02/21,20:20,0.0,-,63724,,1.97,,17.96,,35.0,
2026/02/21,20:30,0.0,-,63700,,2.01,,17.98,,35.0,
2026/02/21,20:40,0.0,-,63700,,2.01,,18.02,,35.0,
2026/02/21,20:50,0.0,-,63675,,0.66,,17.75,,35.0,
2026/02/21,21:00,0.0,-,63675,,0.66,,17.95,,35.0,
2026/02/21,21:10,0.0,-,63675,,0.66,,18.1,,35.0,
2026/02/21,21:20,0.0,-,63650,,1.35,,17.82,,35.0,
