0,1,2,3,4,5,6,7,8,9,10,11
2026/03/02,00:10,0.0,,34209,,14.38,,0.0,,29.6,
2026/03/02,00:20,0.0,,34240,,13.95,,0.0,,29.6,
2026/03/02,00:30,0.0,,34240,,13.95,,0.0,,29.6,
2026/03/02,00:40,0.0,,34240,,14.38,,0.0,,29.6,
2026/03/02,00:50,0.0,,34252,,14.24,,0.0,,29.7,
2026/03/02,01:00,0.0,,34283,,13.38,,0.0,,29.7,
2026/03/02,01:10,0.0,,34283,,14.38,,0.0,,29.7,
2026/03/02,01:20,0.0,,34295,,14.38,,0.0,,29.7,
2026/03/02,01:30,0.0,,34295,,13.52,,0.0,,29.7,
2026/03/02,01:40,0.0,,34295,,13.52,,0.0,,29.7,
2026/03/02,01:50,0.0,,34339,,14.24,,0.0,,29.7,
2026/03/02,02:00,0.0,,34339,,14.09,,0.0,,29.7,
2026/03/02,02:10,0.0,,34339,,13.24,,0.0,,29.7,
2026/03/02,02:20,0.0,,34370,,13.67,,0.0,,29.8,
2026/03/02,02:30,0.0,,34370,,14.24,,0.0,,29.8,
2026/03/02,02:40,0.0,,34382,,13.81,,0.0,,29.8,
2026/03/02,02:50,0.0,,34413,,13.24,,0.0,,29.8,
2026/03/02,03:00,0.0,,34413,,13.52,,0.0,,29.8,
2026/03/02,03:10,0.0,,34425,,14.24,,0.0,,29.8,
2026/03/02,03:20,0.0,,34425,,13.38,,0.0,,29.8,
2026/03/02,03:30,0.0,,34425,,12.95,,0.0,,29.8,
2026/03/02,03:40,0.0,,34425,,13.52,,0.0,,29.8,
2026/03/02,03:50,0.0,,34456,,14.09,,0.0,,29.8,
2026/03/02,04:00,0.0,,34456,,13.38,,0.0,,29.8,
2026/03/02,04:10,0.0,,34456,,13.09,,0.0,,29.8,
2026/03/02,04:20,0.0,,34500,,13.38,,0.0,,29.9,
2026/03/02,04:30,0.0,,34500,,13.38,,0.0,,29.9,
2026/03/02,04:40,0.0,,34500,,13.09,,0.0,,29.9,
2026/03/02,04:50,0.0,,34512,,12.95,,0.0,,29.9,
2026/03/02,05:00,0.0,,34544,,13.52,,0.0,,29.9,
